word	probability
# The model abstained on these words (p < 0.55).
# No gender is predicted; manual assignment required.
मूस	0.5004
मेम्बरशिप	0.5183
मेह	0.5167
मेहर	0.5216
मॉनिटर	0.5429
मॉलिक्यूल	0.5214
मोलस्क	0.5013
यंत्रभाग	0.5318
योग्यताक्रम	0.5265
योनिलिग	0.5356
रतन	0.5089
रम	0.5045
रमाकांत	0.5398
रसातल	0.5009
रहस्योद्घाटन	0.5389
राँड	0.5261
रान	0.5198
रिवाज़	0.5151
रुंड	0.5198
रुधिरदान	0.5448
रुपकालंकार	0.5069
रूपविज्ञान	0.5461
रेखांस	0.5170
रेणुसार	0.5122
रोदन	0.5037
लथाड	0.5020
लाद	0.5360
लाह	0.5446
लिग्नाइट	0.5496
लिट	0.5196
लिलार	0.5044
लिवाल	0.5459
लुआठ	0.5121
लुकाठ	0.5131
लोलक	0.5011
लज़्ज़त	0.5181
वन्यजीव	0.5057
वरासत	0.5466
वामन	0.5031
वामपंथ	0.5218
वाराह	0.5023
वाक़यात	0.5434
वीज	0.5283
वीनस	0.5472
वेटिंग	0.5177
वेधन	0.5320
वैराग	0.5453
शत	0.5082
शतभिष	0.5338
शरणगाह	0.5463
शाकवीर	0.5123
शाखामृग	0.5490
शुरुआत	0.5201
शोफ	0.5265
शख़्स	0.5140
सत	0.5245
समायोजित	0.5311
साँठ	0.5336
सुखांत	0.5201
सुत	0.5252
सुतार	0.5144
सुतीर्थ	0.5468
सुपथ्याहार	0.5243
सुल्तान	0.5167
सोनार	0.5067
सोहर	0.5295
सौमनस्य	0.5474
स्टांप	0.5356
स्तंभ	0.5398
स्तन	0.5357
स्तूप	0.5453
स्थगन	0.5352
स्थलयान	0.5311
स्नानाभिषेक	0.5286
स्फटिक	0.5355
स्फोट	0.5317
स्वर्ग	0.5149
स्वाँग	0.5319
स्वांग	0.5167
स्वेद	0.5050
सफ़र	0.5479
हांडूरस	0.5254
हिचक	0.5463
हिमस्खलन	0.5400
हिय	0.5151
हींग	0.5392
हीक	0.5101
हैबर	0.5289
हौद	0.5254
ख़ानाबदोश	0.5343
ज़मींदार	0.5487
ज़रूरत	0.5211
ज़ुल्म	0.5412
फ़ारस	0.5139
फ़ैशुनेबुल	0.5280
फ़्रिज	0.5139
